2024-03-14 20:11:55,116 - Using device: cpu
2024-03-14 20:11:55,116 - 
Epoch: 2

2024-03-14 20:11:58,486 - Epoch [1/2], Step [122/600], Loss: 0.2306, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:58,518 - Epoch [1/2], Step [123/600], Loss: 0.2308, RAM Usage: 61.90%, CPU Usage: 2.80%
2024-03-14 20:11:58,545 - Epoch [1/2], Step [124/600], Loss: 0.1502, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:58,572 - Epoch [1/2], Step [125/600], Loss: 0.1997, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:58,596 - Epoch [1/2], Step [126/600], Loss: 0.1712, RAM Usage: 61.90%, CPU Usage: 3.20%
2024-03-14 20:11:58,619 - Epoch [1/2], Step [127/600], Loss: 0.1520, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:58,647 - Epoch [1/2], Step [128/600], Loss: 0.1747, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:58,674 - Epoch [1/2], Step [129/600], Loss: 0.1703, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:58,700 - Epoch [1/2], Step [130/600], Loss: 0.2087, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:58,726 - Epoch [1/2], Step [131/600], Loss: 0.1599, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:58,752 - Epoch [1/2], Step [132/600], Loss: 0.1706, RAM Usage: 61.90%, CPU Usage: 2.60%
2024-03-14 20:11:58,777 - Epoch [1/2], Step [133/600], Loss: 0.1291, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:58,803 - Epoch [1/2], Step [134/600], Loss: 0.2414, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:58,826 - Epoch [1/2], Step [135/600], Loss: 0.3221, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:58,854 - Epoch [1/2], Step [136/600], Loss: 0.2814, RAM Usage: 61.90%, CPU Usage: 3.10%
2024-03-14 20:11:58,879 - Epoch [1/2], Step [137/600], Loss: 0.1939, RAM Usage: 61.90%, CPU Usage: 0.00%
